slno,vehicle_type,brand,model,engine_type,10k,cost10k,20k,cost20k,30k,cost30k,40k,cost40k,50k,cost50k,60k,cost60k,70k,cost70k,Above80k,cost80k,total_general,index_general,labour_cost,insurance
1,car ,honda,jazz,petrol,"oil filter,engine oil,wheel alignment,drain washer",2010,"oil filter,engine oil,drain washer,ac filter",3673,"oil filter,engine oil,wheel alignment,air filter,drain washer",3229,"oil filter,engine oil,wheel alignment,ac filter,spark plug,coolant",4380,"oil filter,engine oil,wheel alignment,drain washer",3243,"oil filter,engine oil,wheel alignment,air filter,transmission fluid,brake fluid",6135,"oil filter,engine oil,wheel alignment",4556,"oil filter,engine oil,wheel alignment,ac filter,spark plug,fuel filter",6245,33471,,690,70000
2,car ,honda,jazz,diesel,"oil filter,engine oil,wheel alignment,drain washer",2348,"oil filter,engine oil,ac filter,pollen filter,fuel filter",6534,"oil filter,engine oil,drain washer",4188,"oil filter,engine oil,ac filter,pollen filter,fuel filter",6534,"oil filter,engine oil,wheel alignment,coolant",7440,"oil filter,engine oil,ac cleaner,air filter,fuel filter,brake fluid,transmission fluid",9020,"oil filter,engine oil,wheel alignment",4456,"oil filter,engine oil,wheel alignment,ac filter,air filter,fuel filter",8256,48776,,720,80000
3,car ,honda,amaze,petrol,"oil filter,engine oil,wheel alignment,drain washer",1800,"oil filter,engine oil,air filter",3860,"oil filter,engine oil,air filter,fuel filter",4410,"oil filter,engine oil,brake and clutch oil,air filter,spark plug",5100,"oil filter,engine oil,air filter,fuel filter",4560,"oil filter,engine oil,wheel alignment,brake filter,transmission fluid",6890,"oil filter,engine oil,wheel alignment",4560,"oil filter,engine oil,wheel alignment,ac filter,spark plug",7056,38236,,840,90000
4,car ,honda,amaze,diesel,"oil filter,engine oil,wheel alignment,drain washer",2800,"oil filter,engine oil,wheel alignment,ac filter",5300,"engine oil,oil filter,air filter,fuel filter,brakeoil,clutch oil",6948,"engine oil,oil filter,air filter",5298,"engine oil,oil filter,air filter,fuel filter,brake&clutch oil",6900,"oil filter,engine oil,wheel alignment,ac filter,air filter,fuel filter",7400,"engine oil,oil filter,air filter,fuel filter,brake&clutch oil",8200,"oil filter,engine oil,wheel alignment,ac filter,air filter,fuel filter,brake&clutch oil",9346,52192,,590,100000
5,car ,honda,city,petrol,"oil filter,engine oil,washer drain plug",1519,"oil filter,engine oil,wheel alignment,air filter",2100,"oil filter,engine oil,washer drain plug",3586,"oil filter,engine oil,wheel alignment,air filter,spark plug",4100,"oil filter,engine oil,wheel alignment,washer drain filter",3600,"oil filter,engine oil,wheel alignment,air filter,fuel filter,brake fluid,transmission fluid",5500,"oil filter,engine oil,wheel alignment,washer drain plug",4700,"oil filter,engine oil,wheel alignment,air filter,coolant,dust and pollen filter",6000,31105,,900,120000
6,car ,honda,city,diesel,"oil filter,engine oil,washer drain plug",2500,"oil filter,engine oil,wheel alignment,air filter,fuel filter,dust and pollen filter",6800,"oil filter,engine oil,washer drain plug",5700,"oil filter,engine oil,wheel alignment,air filter,fuel filter,dust and pollen filter",6500,"oil filter,engine oil,wheel alignment,washer drain filter",7100,"oil filter,engine oil,wheel alignment,air filter,fuel filter,brake fluid,transmission fluid",9599,"oil filter,engine oil,wheel alignment,washer drain plug",6100,"oil filter,engine oil,wheel alignment,air filter,fuel filter,coolant,dust and pollen filter",8500,52799,,770,130000
7,car ,toyota,fortuner,diesel,"oil filter,engine oil",4700,"oil filter,engine oil,fuel filter,washer drain plug",8440,"oil filter,engine oil,air filter,ac filter",9200,"oil filter,engine oil,air filter",9800,"oil filter,engine oil,wheel alignment,brake fluid",10860,"oil filter,engine oil,air filter,fuel filter,ac filter,transmission fluid",11289,"oil filter,engine oil,wheel alignment",12100,"oil filter,engine oil,air filter,coolant,ac filter",14000,80389,,400,320000
