slno,vehicle_type,brand,model,engine_type,bonnet,door,front_bumper,rear_bumper,front_headlight,back_headlight,side_mirror,tail_light,clutch_plate,barke_pad,front_windsheild,rear_windsheild,ac_evaporator_coil,radiator,battery,total_acc
1,car,honda,jazz,petrol,4467,7166,2942,3838,4734,3699,3575,2048,2640,2849,3774,6656,2399,4670,3299,58756
2,car,honda,jazz,diesel,3490,4500,2299,2999,3699,3699,3575,1600,8949,2849,2949,5200,2399,3789,5499,57495
3,car,honda,amaze,petrol,5536,7130,2816,10112,4096,3020,1349,2304,2635,2799,6400,5420,1685,5644,3599,64545
4,car,honda,amaze,diesel,3090,4799,2099,8888,3600,3020,1349,2025,8955,2799,2999,4764,1685,4100,5699,59871
5,car,honda,city,petrol,4550,8419,7040,3200,5760,4699,3119,2581,2640,2849,7622,5048,2399,5644,3699,69269
6,car,honda,city,diesel,2399,7400,6188,2812,5062,4699,3119,2269,8949,2849,6699,4437,2399,5644,5699,70624
7,car,toyota,fortuner,diesel,20444,33000,14206,15790,46183,18499,19899,13782,9565,2999,"1,61,993",56737,12799,50327,6899,321129
